Task,Category,Start,End,Rest,Total,Total(mins)
klase diagrama + arkitektura,Diseinua,"May 16, 2021 11:40","May 16, 2021 12:45",,1h 5m,65
klase diagrama,Diseinua,"May 15, 2021 19:10","May 15, 2021 22:05",,2h 55m,175
repository aldaketak,Aplikazioa,"May 15, 2021 11:00","May 15, 2021 12:00",,1h 0m,60
repository aldaketak,Aplikazioa,"May 14, 2021 23:00","May 15, 2021 0:30",,1h 30m,90
class diagram,Diseinua,"May 14, 2021 15:05","May 14, 2021 17:00",15,1h 55m,100
class diagram,Diseinua,"May 14, 2021 11:15","May 14, 2021 13:35",,2h 20m,140
use case diagram,Diseinua,"May 14, 2021 0:00","May 14, 2021 1:00",,1h 0m,60
bilera,Jarraipen eta Kontrola,"May 13, 2021 10:00","May 13, 2021 12:00",,2h 0m,120
refactoring,Aplikazioa,"May 12, 2021 22:40","May 13, 2021 0:10",,1h 30m,90
iterazioen banaketa + refactor,Aplikazioa,"May 12, 2021 15:00","May 12, 2021 17:10",,2h 10m,130
memoria → garapena pentsatu,Dokumentazio,"May 12, 2021 11:30","May 12, 2021 13:45",,2h 15m,135
use case diagram,Diseinua,"May 12, 2021 10:30","May 12, 2021 11:30",,1h 0m,60
migration azken saiakera,Aplikazioa,"May 12, 2021 10:00","May 12, 2021 10:30",,30m,30
dbrecover,Aplikazioa,"May 11, 2021 23:15","May 12, 2021 0:30",,1h 15m,75
datubase konponketak,Aplikazioa,"May 11, 2021 18:30","May 11, 2021 19:10",,40m,40
domeinu diagrama,Dokumentazio,"May 11, 2021 16:50","May 11, 2021 18:30",,1h 40m,100
refactoring,Aplikazioa,"May 11, 2021 11:55","May 11, 2021 13:30",,1h 35m,95
memoria,Dokumentazio,"May 11, 2021 10:55","May 11, 2021 11:55",,1h 0m,60
zuzenketak,Aplikazioa,"May 10, 2021 15:55","May 10, 2021 17:40",,1h 45m,105
zuzenketak,Aplikazioa,"May 10, 2021 11:35","May 10, 2021 14:00",,2h 25m,145
zuzenketak,Aplikazioa,"May 9, 2021 19:15","May 9, 2021 21:00",,1h 45m,105
zuzenketak,Aplikazioa,"May 9, 2021 15:10","May 9, 2021 16:45",,1h 35m,95
zuzenketak,Aplikazioa,"May 9, 2021 12:55","May 9, 2021 14:00",,1h 5m,65
bilera,Jarraipen eta Kontrola,"May 4, 2021 10:45","May 4, 2021 11:45",,1h 0m,60
multilevel,Aplikazioa,"May 3, 2021 22:15","May 3, 2021 23:15",,1h 0m,60
multilevel,Aplikazioa,"May 3, 2021 15:15","May 3, 2021 17:00",,1h 45m,105
multilevel,Aplikazioa,"May 3, 2021 11:00","May 3, 2021 12:40",,1h 40m,100
multilevel,Aplikazioa,"May 2, 2021 16:15","May 2, 2021 19:15",,3h 0m,180
multilevel,Aplikazioa,"May 2, 2021 11:30","May 2, 2021 13:30",,2h 0m,120
multilevel,Aplikazioa,"May 1, 2021 20:20","May 1, 2021 22:30",,2h 10m,130
multilevel,Aplikazioa,"May 1, 2021 18:25","May 1, 2021 19:10",,45m,45
multilevel,Aplikazioa,"May 1, 2021 16:00","May 1, 2021 17:40",,1h 40m,100
beste solaruak tolatlng,Aplikazioa,"May 1, 2021 12:10","May 1, 2021 14:15",,2h 5m,125
other robots install + fixes,Aplikazioa,"April 30, 2021 19:45","April 30, 2021 21:30",,1h 45m,105
multilevel labels,Aplikazioa,"April 29, 2021 19:20","April 29, 2021 20:35",,1h 15m,75
multifloor start,Aplikazioa,"April 28, 2021 16:15","April 28, 2021 17:15",,1h 0m,60
zuzenketak,Aplikazioa,"April 25, 2021 17:50","April 25, 2021 19:50",,2h 0m,120
toast,Aplikazioa,"April 25, 2021 12:05","April 25, 2021 13:35",,1h 30m,90
zuzenketak: publishRoute,Aplikazioa,"April 24, 2021 21:05","April 24, 2021 23:15",,2h 10m,130
zuzenketak: exposedDropdown,Aplikazioa,"April 24, 2021 12:00","April 24, 2021 13:30",,1h 30m,90
exposedDropdown,Aplikazioa,"April 23, 2021 21:00","April 23, 2021 22:25",,1h 25m,85
zuzenketak,Aplikazioa,"April 23, 2021 18:30","April 23, 2021 19:40",,1h 10m,70
"list error, point conversion",Aplikazioa,"April 19, 2021 20:30","April 19, 2021 23:45",45,3h 15m,150
bilera,Jarraipen eta Kontrola,"April 19, 2021 12:20","April 19, 2021 14:40",,2h 20m,140
db,Aplikazioa,"April 18, 2021 16:45","April 18, 2021 19:00",,2h 15m,135
db,Aplikazioa,"April 18, 2021 11:15","April 18, 2021 13:50",,2h 35m,155
database,Aplikazioa,"April 17, 2021 12:10","April 17, 2021 15:15",,3h 5m,185
juego logica,Aplikazioa,"April 16, 2021 16:15","April 16, 2021 17:35",,1h 20m,80
"shutdown, threading",Aplikazioa,"April 15, 2021 18:20","April 15, 2021 19:20",,1h 0m,60
,,"April 14, 2021 19:05","April 14, 2021 20:00",,55m,55
cancelrequest,Aplikazioa,"April 13, 2021 23:55","April 14, 2021 1:00",,1h 5m,65
"position observer, cancel",Aplikazioa,"April 13, 2021 20:20","April 13, 2021 22:20",,2h 0m,120
gui,Aplikazioa,"April 12, 2021 21:00","April 12, 2021 22:00",,1h 0m,60
design,Aplikazioa,"April 12, 2021 15:05","April 12, 2021 17:15",,2h 10m,130
alerts,Aplikazioa,"April 11, 2021 15:50","April 11, 2021 18:25",,2h 35m,155
"camera btn, alert",Aplikazioa,"April 11, 2021 11:20","April 11, 2021 13:30",,2h 10m,130
other tiles,Aplikazioa,"April 11, 2021 0:25","April 11, 2021 1:50",,1h 25m,85
mvvm livedata,Aplikazioa,"April 10, 2021 17:05","April 10, 2021 21:40",50,4h 35m,225
mvvm pattern,Aplikazioa,"April 10, 2021 11:30","April 10, 2021 13:40",,2h 10m,130
mvvm implementation,Aplikazioa,"April 9, 2021 23:05","April 10, 2021 2:10",,3h 5m,185
map position correction,Aplikazioa,"April 9, 2021 15:05","April 9, 2021 16:35",,1h 30m,90
marker positions adjust,Aplikazioa,"April 8, 2021 23:05","April 9, 2021 0:25",,1h 20m,80
map markers,Aplikazioa,"April 8, 2021 15:40","April 8, 2021 17:45",,2h 5m,125
maps,Aplikazioa,"April 8, 2021 11:05","April 8, 2021 13:00",,1h 55m,115
map transformation,Aplikazioa,"April 7, 2021 22:50","April 8, 2021 0:30",,1h 40m,100
map transformation,Aplikazioa,"April 7, 2021 16:00","April 7, 2021 18:00",,2h 0m,120
